"filename", "language", "JSON", "JavaScript", "JSON with Comments", "Markdown", "HTML", "TypeScript", "Less", "XML", "SCSS", "CSS", "comment", "blank", "total"
"c:\Users\Risin\Documents\Workspace\AimGratingPMS-Frontend\src\app\routes\exception\exception.module.ts", "TypeScript", 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 3, 16
"c:\Users\Risin\Documents\Workspace\AimGratingPMS-Frontend\src\app\routes\exception\trigger.component.ts", "TypeScript", 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 1, 5, 36
"c:\Users\Risin\Documents\Workspace\AimGratingPMS-Frontend\src\app\routes\passport\callback.component.ts", "TypeScript", 0, 0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 5, 36
"c:\Users\Risin\Documents\Workspace\AimGratingPMS-Frontend\src\app\routes\passport\lock\lock.component.html", "HTML", 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 1, 22
"c:\Users\Risin\Documents\Workspace\AimGratingPMS-Frontend\src\app\routes\passport\lock\lock.component.less", "Less", 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 2, 14
"c:\Users\Risin\Documents\Workspace\AimGratingPMS-Frontend\src\app\routes\passport\lock\lock.component.ts", "TypeScript", 0, 0, 0, 0, 0, 40, 0, 0, 0, 0, 0, 5, 45
"c:\Users\Risin\Documents\Workspace\AimGratingPMS-Frontend\src\app\routes\passport\login\login.component.html", "HTML", 0, 0, 0, 0, 74, 0, 0, 0, 0, 0, 0, 1, 75
"c:\Users\Risin\Documents\Workspace\AimGratingPMS-Frontend\src\app\routes\passport\login\login.component.less", "Less", 0, 0, 0, 0, 0, 0, 52, 0, 0, 0, 0, 12, 64
"c:\Users\Risin\Documents\Workspace\AimGratingPMS-Frontend\src\app\routes\passport\login\login.component.ts", "TypeScript", 0, 0, 0, 0, 0, 169, 0, 0, 0, 0, 12, 16, 197
"c:\Users\Risin\Documents\Workspace\AimGratingPMS-Frontend\src\app\routes\passport\register-result\register-result.component.html", "HTML", 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 1, 14
"c:\Users\Risin\Documents\Workspace\AimGratingPMS-Frontend\src\app\routes\passport\register-result\register-result.component.ts", "TypeScript", 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 2, 16
"c:\Users\Risin\Documents\Workspace\AimGratingPMS-Frontend\src\app\routes\passport\register\register.component.html", "HTML", 0, 0, 0, 0, 100, 0, 0, 0, 0, 0, 0, 1, 101
"c:\Users\Risin\Documents\Workspace\AimGratingPMS-Frontend\src\app\routes\passport\register\register.component.less", "Less", 0, 0, 0, 0, 0, 0, 42, 0, 0, 0, 0, 10, 52
"c:\Users\Risin\Documents\Workspace\AimGratingPMS-Frontend\src\app\routes\passport\register\register.component.ts", "TypeScript", 0, 0, 0, 0, 0, 121, 0, 0, 0, 0, 5, 14, 140
"c:\Users\Risin\Documents\Workspace\AimGratingPMS-Frontend\src\app\routes\routes-routing.module.ts", "TypeScript", 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 39, 3, 70
"c:\Users\Risin\Documents\Workspace\AimGratingPMS-Frontend\src\app\routes\routes.module.ts", "TypeScript", 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 5, 3, 30
